,MTH,DEALER_ID,LISTING_AD_ID,LISTING_NEW_USED,LISTING_MANUFACTURER,LISTING_TYPE,DMA_NAME,REALM_NAME,CUSTOMER_TYPE,INVENTORY,SRPS,VDPS,WEBREFERRALS,MAPS,EMAIL
107093,3,2934876,5006410508,U,OTHER,STANDARD,atlanta,Commercial Truck,DEALER,1,12,0,0,0,0
167169,3,2934876,5006410509,U,OTHER,STANDARD,atlanta,Commercial Truck,DEALER,1,9,0,0,0,0
94703,2,2934876,5006410509,U,OTHER,STANDARD,atlanta,Commercial Truck,DEALER,1,3,0,0,0,0
192033,2,2934876,5006410511,U,OTHER,STANDARD,atlanta,Commercial Truck,DEALER,1,5,0,0,0,0
7268,3,2934876,5006410511,U,OTHER,STANDARD,atlanta,Commercial Truck,DEALER,1,5,0,0,0,0
179926,3,2934876,5006410512,U,OTHER,STANDARD,atlanta,Commercial Truck,DEALER,1,11,0,0,0,0
114829,2,2934876,5006410512,U,OTHER,STANDARD,atlanta,Commercial Truck,DEALER,1,4,0,0,0,0
10741,2,2934876,5006410515,U,OTHER,STANDARD,atlanta,Commercial Truck,DEALER,1,5,0,0,0,0
24546,3,2934876,5006410515,U,OTHER,STANDARD,atlanta,Commercial Truck,DEALER,1,6,0,0,0,0
34653,2,2934876,5006410516,U,OTHER,STANDARD,atlanta,Commercial Truck,DEALER,1,6,0,0,0,0
163435,3,2934876,5006410516,U,OTHER,STANDARD,atlanta,Commercial Truck,DEALER,1,7,0,0,0,0
75199,3,2934876,5006410517,U,OTHER,STANDARD,atlanta,Commercial Truck,DEALER,1,8,0,0,0,0
124853,2,2934876,5006410517,U,OTHER,STANDARD,atlanta,Commercial Truck,DEALER,1,5,0,0,0,0
59773,3,2934876,5006410518,U,OTHER,STANDARD,atlanta,Commercial Truck,DEALER,1,12,0,0,0,0
162501,2,2934876,5006410518,U,OTHER,STANDARD,atlanta,Commercial Truck,DEALER,1,3,0,0,0,0
148555,3,2934876,5006411039,U,OTHER,STANDARD,atlanta,Commercial Truck,DEALER,1,7,0,0,0,0
130858,2,2934876,5006411039,U,OTHER,STANDARD,atlanta,Commercial Truck,DEALER,1,3,0,0,0,0
178459,2,2934876,5006411040,U,OTHER,STANDARD,atlanta,Commercial Truck,DEALER,1,3,0,0,0,0
16763,3,2934876,5006411040,U,OTHER,STANDARD,atlanta,Commercial Truck,DEALER,1,5,0,0,0,0
138858,2,2934876,5006411041,U,OTHER,STANDARD,atlanta,Commercial Truck,DEALER,1,4,0,0,0,0
88604,3,2934876,5006411041,U,OTHER,STANDARD,atlanta,Commercial Truck,DEALER,1,6,0,0,0,0
150055,2,2934876,5006411044,U,OTHER,STANDARD,atlanta,Commercial Truck,DEALER,1,3,0,0,0,0
77348,3,2934876,5006411044,U,OTHER,STANDARD,atlanta,Commercial Truck,DEALER,1,8,0,0,0,0
109937,2,2934876,5006411045,U,OTHER,STANDARD,atlanta,Commercial Truck,DEALER,1,3,0,0,0,0
99551,3,2934876,5006411045,U,OTHER,STANDARD,atlanta,Commercial Truck,DEALER,1,11,0,0,0,0
189476,2,2934876,5006411046,U,OTHER,STANDARD,atlanta,Commercial Truck,DEALER,1,3,0,0,0,0
62171,3,2934876,5006411046,U,OTHER,STANDARD,atlanta,Commercial Truck,DEALER,1,4,0,0,0,0
40026,3,2934876,5006411488,U,OTHER,STANDARD,atlanta,Commercial Truck,DEALER,1,29,0,0,0,0
201080,2,2934876,5006411488,U,OTHER,STANDARD,atlanta,Commercial Truck,DEALER,1,3,0,0,0,0
156485,2,2934876,5006411489,U,OTHER,STANDARD,atlanta,Commercial Truck,DEALER,1,3,0,0,0,0
155592,3,2934876,5006411489,U,OTHER,STANDARD,atlanta,Commercial Truck,DEALER,1,8,0,0,0,0
188556,2,2934876,5006411490,U,OTHER,STANDARD,atlanta,Commercial Truck,DEALER,1,3,0,0,0,0
49372,3,2934876,5006411490,U,OTHER,STANDARD,atlanta,Commercial Truck,DEALER,1,12,0,0,0,0
167492,2,2934876,5006411492,U,OTHER,STANDARD,atlanta,Commercial Truck,DEALER,1,4,0,0,0,0
26139,3,2934876,5006411492,U,OTHER,STANDARD,atlanta,Commercial Truck,DEALER,1,10,0,0,0,0
84803,3,2934876,5006411493,U,OTHER,STANDARD,atlanta,Commercial Truck,DEALER,1,8,0,0,0,0
110984,2,2934876,5006411493,U,OTHER,STANDARD,atlanta,Commercial Truck,DEALER,1,3,0,0,0,0
63088,3,2934876,5006411494,U,OTHER,STANDARD,atlanta,Commercial Truck,DEALER,1,9,0,0,0,0
150662,2,2934876,5006411494,U,OTHER,STANDARD,atlanta,Commercial Truck,DEALER,1,2,0,0,0,0
182857,2,2934876,5006411495,U,OTHER,STANDARD,atlanta,Commercial Truck,DEALER,1,2,0,0,0,0
14683,3,2934876,5006411495,U,OTHER,STANDARD,atlanta,Commercial Truck,DEALER,1,9,0,0,0,0
75892,3,2934876,5006411497,U,OTHER,STANDARD,atlanta,Commercial Truck,DEALER,1,4,0,0,0,0
94704,2,2934876,5006411497,U,OTHER,STANDARD,atlanta,Commercial Truck,DEALER,1,4,0,0,0,0
4800,3,2934876,5006411498,U,OTHER,STANDARD,atlanta,Commercial Truck,DEALER,1,7,0,0,0,0
195839,2,2934876,5006411498,U,OTHER,STANDARD,atlanta,Commercial Truck,DEALER,1,5,0,0,0,0
109733,3,2934876,5006411499,U,OTHER,STANDARD,atlanta,Commercial Truck,DEALER,1,5,0,0,0,0
186382,2,2934876,5006411499,U,OTHER,STANDARD,atlanta,Commercial Truck,DEALER,1,4,0,0,0,0
484,3,2934876,5006411500,U,OTHER,STANDARD,atlanta,Commercial Truck,DEALER,1,9,0,0,0,0
165449,2,2934876,5006411500,U,OTHER,STANDARD,atlanta,Commercial Truck,DEALER,1,6,0,0,0,0
127583,2,2934876,5006411501,U,OTHER,STANDARD,atlanta,Commercial Truck,DEALER,1,4,0,0,0,0
39320,3,2934876,5006411501,U,OTHER,STANDARD,atlanta,Commercial Truck,DEALER,1,8,0,0,0,0
141978,3,2934876,5006411502,U,OTHER,STANDARD,atlanta,Commercial Truck,DEALER,1,7,0,0,0,0
184632,2,2934876,5006411502,U,OTHER,STANDARD,atlanta,Commercial Truck,DEALER,1,1,0,0,0,0
59063,3,2934876,5006411503,U,OTHER,STANDARD,atlanta,Commercial Truck,DEALER,1,3,0,0,0,0
140766,2,2934876,5006411503,U,OTHER,STANDARD,atlanta,Commercial Truck,DEALER,1,1,0,0,0,0
16312,3,2934876,5006411506,U,OTHER,STANDARD,atlanta,Commercial Truck,DEALER,1,8,0,0,0,0
117904,2,2934876,5006411506,U,OTHER,STANDARD,atlanta,Commercial Truck,DEALER,1,4,0,0,0,0
116600,2,2934876,5006411507,U,OTHER,STANDARD,atlanta,Commercial Truck,DEALER,1,3,0,0,0,0
12366,3,2934876,5006411507,U,OTHER,STANDARD,atlanta,Commercial Truck,DEALER,1,6,0,0,0,0
64025,3,2934876,5006411508,U,OTHER,STANDARD,atlanta,Commercial Truck,DEALER,1,4,0,0,0,0
203106,2,2934876,5006411508,U,OTHER,STANDARD,atlanta,Commercial Truck,DEALER,1,2,0,0,0,0
13942,3,2934876,5006411509,U,OTHER,STANDARD,atlanta,Commercial Truck,DEALER,1,11,0,0,0,0
104977,2,2934876,5006411509,U,OTHER,STANDARD,atlanta,Commercial Truck,DEALER,1,2,0,0,0,0
64261,3,2934876,5006411510,U,OTHER,STANDARD,atlanta,Commercial Truck,DEALER,1,10,0,0,0,0
118095,2,2934876,5006411510,U,OTHER,STANDARD,atlanta,Commercial Truck,DEALER,1,3,0,0,0,0
127607,3,2934876,5006411511,U,OTHER,STANDARD,atlanta,Commercial Truck,DEALER,1,5,0,0,0,0
193085,2,2934876,5006411511,U,OTHER,STANDARD,atlanta,Commercial Truck,DEALER,1,1,0,0,0,0
67296,2,2934876,5006411512,U,OTHER,STANDARD,atlanta,Commercial Truck,DEALER,1,3,0,0,0,0
174714,3,2934876,5006411512,U,OTHER,STANDARD,atlanta,Commercial Truck,DEALER,1,11,0,0,0,0
193247,2,2934876,5006411513,U,OTHER,STANDARD,atlanta,Commercial Truck,DEALER,1,0,0,0,0,0
163265,3,2934876,5006411513,U,OTHER,STANDARD,atlanta,Commercial Truck,DEALER,1,10,0,0,0,0
116601,2,2934876,5006411514,U,OTHER,STANDARD,atlanta,Commercial Truck,DEALER,1,1,0,0,0,0
87362,3,2934876,5006411514,U,OTHER,STANDARD,atlanta,Commercial Truck,DEALER,1,7,0,0,0,0
18121,3,2934876,5006411515,U,OTHER,STANDARD,atlanta,Commercial Truck,DEALER,1,6,0,0,0,0
178920,2,2934876,5006411515,U,OTHER,STANDARD,atlanta,Commercial Truck,DEALER,1,3,0,0,0,0
2967,2,2934876,5006411516,U,OTHER,STANDARD,atlanta,Commercial Truck,DEALER,1,4,0,0,0,0
146052,3,2934876,5006411516,U,OTHER,STANDARD,atlanta,Commercial Truck,DEALER,1,8,0,0,0,0
41434,3,2934876,5006411517,U,OTHER,STANDARD,atlanta,Commercial Truck,DEALER,1,9,0,0,0,0
193976,2,2934876,5006411517,U,OTHER,STANDARD,atlanta,Commercial Truck,DEALER,1,1,0,0,0,0
132699,3,2934876,5006411518,U,OTHER,STANDARD,atlanta,Commercial Truck,DEALER,1,6,0,0,0,0
65432,2,2934876,5006411518,U,OTHER,STANDARD,atlanta,Commercial Truck,DEALER,1,2,0,0,0,0
90459,3,2934876,5006411519,U,OTHER,STANDARD,atlanta,Commercial Truck,DEALER,1,6,0,0,0,0
142973,2,2934876,5006411519,U,OTHER,STANDARD,atlanta,Commercial Truck,DEALER,1,2,0,0,0,0
13313,2,2934876,5006411520,U,OTHER,STANDARD,atlanta,Commercial Truck,DEALER,1,2,0,0,0,0
170058,3,2934876,5006411520,U,OTHER,STANDARD,atlanta,Commercial Truck,DEALER,1,24,0,0,0,0
63382,3,2934876,5006411521,U,OTHER,STANDARD,atlanta,Commercial Truck,DEALER,1,28,0,0,0,0
71648,2,2934876,5006411521,U,OTHER,STANDARD,atlanta,Commercial Truck,DEALER,1,6,0,0,0,0
70566,3,2934876,5006411522,U,OTHER,STANDARD,atlanta,Commercial Truck,DEALER,1,30,0,0,0,0
44236,2,2934876,5006411522,U,OTHER,STANDARD,atlanta,Commercial Truck,DEALER,1,3,0,0,0,0
119902,2,2934876,5006411523,U,OTHER,STANDARD,atlanta,Commercial Truck,DEALER,1,6,0,0,0,0
56019,3,2934876,5006411523,U,OTHER,STANDARD,atlanta,Commercial Truck,DEALER,1,28,0,0,0,0
32255,3,2934876,5006411524,U,OTHER,STANDARD,atlanta,Commercial Truck,DEALER,1,33,0,0,0,0
143869,2,2934876,5006411524,U,OTHER,STANDARD,atlanta,Commercial Truck,DEALER,1,5,0,0,0,0
64019,3,2934876,5006412505,N,ELKHART COACH,STANDARD,atlanta,Commercial Truck,DEALER,1,13,0,0,0,0
155015,2,2934876,5006412505,N,ELKHART COACH,STANDARD,atlanta,Commercial Truck,DEALER,1,6,0,0,0,0
112355,2,2934876,5006412506,N,OTHER,STANDARD,atlanta,Commercial Truck,DEALER,1,4,0,0,0,0
87803,3,2934876,5006412506,N,OTHER,STANDARD,atlanta,Commercial Truck,DEALER,1,5,0,0,0,0
188720,2,2934876,5006412507,N,OTHER,STANDARD,atlanta,Commercial Truck,DEALER,1,3,0,0,0,0
47512,3,2934876,5006412507,N,OTHER,STANDARD,atlanta,Commercial Truck,DEALER,1,8,0,0,0,0
170893,2,2934876,5006412508,N,GOSHEN,STANDARD,atlanta,Commercial Truck,DEALER,1,7,0,0,0,0
12125,3,2934876,5006412508,N,GOSHEN,STANDARD,atlanta,Commercial Truck,DEALER,1,57,0,0,0,0
119218,2,2934876,5006412509,N,OTHER,STANDARD,atlanta,Commercial Truck,DEALER,1,0,0,0,0,0
160651,3,2934876,5006412509,N,OTHER,STANDARD,atlanta,Commercial Truck,DEALER,1,13,0,0,0,0
125144,2,2934876,5006412510,N,OTHER,STANDARD,atlanta,Commercial Truck,DEALER,1,0,0,0,0,0
74523,3,2934876,5006412510,N,OTHER,STANDARD,atlanta,Commercial Truck,DEALER,1,4,0,0,0,0
90667,2,2934876,5006412511,N,OTHER,STANDARD,atlanta,Commercial Truck,DEALER,1,3,0,0,0,0
89867,3,2934876,5006412511,N,OTHER,STANDARD,atlanta,Commercial Truck,DEALER,1,8,0,0,0,0
201864,2,2934876,5006412512,N,OTHER,STANDARD,atlanta,Commercial Truck,DEALER,1,3,0,0,0,0
172997,3,2934876,5006412512,N,OTHER,STANDARD,atlanta,Commercial Truck,DEALER,1,9,0,0,0,0
114082,3,2934876,5006412513,N,OTHER,STANDARD,atlanta,Commercial Truck,DEALER,1,10,0,0,0,0
60063,2,2934876,5006412513,N,OTHER,STANDARD,atlanta,Commercial Truck,DEALER,1,3,0,0,0,0
109309,3,2934876,5006412515,N,OTHER,STANDARD,atlanta,Commercial Truck,DEALER,1,8,0,0,0,0
25389,2,2934876,5006412515,N,OTHER,STANDARD,atlanta,Commercial Truck,DEALER,1,5,0,0,0,0
84254,2,2934876,5006412516,N,OTHER,STANDARD,atlanta,Commercial Truck,DEALER,1,5,0,0,0,0
62167,3,2934876,5006412516,N,OTHER,STANDARD,atlanta,Commercial Truck,DEALER,1,12,0,0,0,0
13462,3,2934876,5006412517,N,CHAMPION,STANDARD,atlanta,Commercial Truck,DEALER,1,10,0,0,0,0
